# Mycelium task-id -> GitHub issue map (created 2026-06-08 via the GitHub MCP server).
# Columns (TAB-separated): task_id  issue_number  issue_db_id
#   - issue_number : use for "blocked by" issue-dependency links and human reference.
#   - issue_db_id  : the issue's REST database id; pass as sub_issue_id to sub_issue_write
#                    (sub-issue linking takes the ID, NOT the number).
# Repo: tzervas/mycelium. Milestones are NOT yet assigned (see gh-bootstrap-local.sh).
M-001	2	4617116767
M-002	3	4617123049
M-020	4	4617123141
M-010	5	4617123321
M-011	6	4617123444
M-012	7	4617123592
M-090	8	4617123878
M-091	9	4617124033
M-092	10	4617124158
M-101	11	4617125522
M-102	12	4617125568
M-103	13	4617125604
M-104	14	4617125650
M-110	15	4617125702
M-111	16	4617125746
M-112	17	4617125811
M-120	18	4617126032
M-121	19	4617126211
M-130	20	4617126575
M-131	21	4617126718
M-132	22	4617126880
M-140	23	4617127070
M-141	24	4617127185
M-142	25	4617127432
M-150	26	4617127757
M-151	27	4617127905
E2-1	28	4617129312
E2-2	29	4617129348
E2-3	30	4617129393
E2-4	31	4617129450
E2-5	32	4617129491
E2-6	33	4617129528
E2-7	34	4617129887
E3-1	35	4617130041
E3-2	36	4617130161
E3-3	37	4617130281
E3-4	38	4617130563
E3-5	39	4617130878
E3-6	40	4617130997
E3-7	41	4617131114
M-201	48	4623625460
M-202	49	4623626377
M-203	50	4623627234
M-204	51	4623628991
M-210	52	4623629721
M-211	53	4623630549
M-212	54	4623631779
M-220	55	4623632554
M-221	56	4623633197
M-222	57	4623634545
M-230	58	4623635239
M-231	59	4623636021
M-240	60	4623637022
M-241	61	4623637768
M-242	62	4623638509
M-250	63	4623639638
M-251	64	4623640141
M-260	65	4623640855
# Phase 3 (M-3xx build tasks) — created 2026-06-15 from issues.yaml; sub-issues of epics E3-1..E3-7 (#35-41).
M-301	86	4667962152
M-302	87	4667963041
M-303	88	4667963568
M-310	89	4667964067
M-311	90	4667964720
M-312	91	4667965560
M-320	92	4667966021
M-340	93	4667966594
M-350	94	4667967526
M-360	95	4667968179
M-370	96	4667968579
M-330	97	4667969170
M-380	98	4667969572
# Phase 4 (ABI + hot-inject + AOT-fragment + mutual recursion) — created 2026-06-16; gated on ADR-016/017 (Accepted).
M-341	103	4670462314
M-342	104	4670462862
M-343	105	4670463395
M-344	106	4670552366
M-345	107	4670644171
M-346	108	4670658161
M-347	109	4670780471
M-348	110	4670836194
M-349	112	4671065353
# Phase 4 (RFC-0012 ambient deferred extensions) — created 2026-06-16.
M-351	114	4673832722
M-352	116	4675480420
# Phase 4 (M-35x RFC-0008 integration) + Phase 7 (RFC-0008 runtime) — created 2026-06-16.
M-353	118	4676055748
M-354	119	4676056480
M-355	120	4676057851
M-356	121	4676058388
M-357	122	4676058890
# Phase 7 (M-358/M-359/M-362) + Phase 8 (M-361/M-363) — created 2026-06-16 via gh-sync-all.sh.
M-358	130	4677945771
M-359	131	4677946202
M-361	132	4677946623
M-362	133	4677946993
M-363	134	4677947454
# M-361 decomposition (M-364..M-368) staged in issues.yaml 2026-06-16; numbers assigned on the next
